election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator,elected_indicator,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED12-006,6,Lloyd Schmidt,Lloyd,Lloyd,Schmidt,M,Manufacturers Agent,Agent manufacturier,N,N,Kentville,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-007,1,Francis LeBlanc,Francis,Francis,LeBlanc,M,Economist,Économiste,Y,N,Antigonish,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-007,2,Charlene Long,Charlene,Charlene,Long,F,Registered Nurse,Infirmière diplômée,N,N,Antigonish,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-007,3,Peter G. MacKay,Peter,Peter,MacKay,M,Barrister and Solicitor,Avocat,N,Y,New Glasgow,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-007,4,Richard Robertson,Richard,Richard,Robertson,M,Teacher,Enseignant,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-007,5,Henry Van Berkel,Henry,Henry,Van Berkel,M,Retired Teacher,Enseignant retraité,N,N,Antigonish,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-008,1,Rob Cuthbert,Rob,Rob,Cuthbert,M,Retired,Retraité,N,N,Head of Jeddore,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-008,2,Bernard Wayne Gormley,Bernard,Bernard,Gormley,M,Teacher,Enseignant,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-008,3,Beverley Peters,Beverley,Beverley,Peters,F,Insurance Broker,Courtière d'assurances,N,N,Wellington,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-008,4,Peter Stoffer,Peter,Peter,Stoffer,M,Customer Service Lead Agent,Agent principal-Service à la clientèle,N,Y,Windsor Junction,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-008,5,Ken Streatch,Ken,Ken,Streatch,M,Farmer-Marketing Consultant,Fermier-Consultant en marketing,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-009,1,Terry June Harnish,Terry,Terry,Harnish,F,Proprietor,Propriétaire,N,N,Hubbards,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-009,2,Gerald Keddy,Gerald,Gerald,Keddy,M,Farmer,Fermier,N,Y,New Ross,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-009,3,Anne Matthiasson,Anne,Anne,Matthiasson,F,Retired,Retraitée,N,N,Mahone Bay,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-009,4,Blantford Willie Nickerson,Blantford,Blantford,Nickerson,M,Fisherman,Pêcheur,N,N,Port Joli,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-009,5,Derek Wells,Derek,Derek,Wells,M,Lawyer,Avocat,Y,N,Chester,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-010,1,Cecil Clarke,Cecil,Cecil,Clarke,M,Consultant,Consultant,N,N,Sydney,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-010,2,Vince MacLean,Vince,Vince,MacLean,M,Businessman,Homme d'affaires,N,N,Sydney,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
GE.36.1997,3600,ED12-010,3,Peter Mancini,Peter,Peter,Mancini,M,Lawyer,Avocat,N,Y,Sydney,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-011,1,Betty L. Cox,Betty,Betty,Cox,F,Music Teacher,Professeure de musique,N,N,Yarmouth,Nova Scotia,Nouvelle-Écosse,Reform,Réforme
GE.36.1997,3600,ED12-011,2,Neeraj Lakhanpal,Neeraj,Neeraj,Lakhanpal,M,Student,Étudiant,N,N,Halifax,Nova Scotia,Nouvelle-Écosse,NLP,PLN
GE.36.1997,3600,ED12-011,3,Mark Muise,Mark,Mark,Muise,M,Life UnderWriter,Assureur-vie,N,Y,Yarmouth,Nova Scotia,Nouvelle-Écosse,PC,PC
GE.36.1997,3600,ED12-011,4,Brian D. Noble,Brian,Brian,Noble,M,Teacher,Enseignant,N,N,Yarmouth,Nova Scotia,Nouvelle-Écosse,NDP,NPD
GE.36.1997,3600,ED12-011,5,Harry Verran,Harry,Harry,Verran,M,Parliamentarian,Parlementaire,Y,N,Middleton,Nova Scotia,Nouvelle-Écosse,Liberal,Libéral
