Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,"207,976.00","21,418.90","18,938.30","2,480.60","8,819.80","4,913.50","2,839.10",..,"1,067.20","9,224.30",650.9,"6,892.30",271.2,"1,409.90","43,573.40","11,471.80","25,010.00",601.2,71,613.2,"4,453.30",316.6,"1,036.30","12,332.20","3,404.90",122.8,753.4,"1,210.50",406.3,607.4,515.1,"1,349.30","1,635.70",576.4,656.5,"1,093.80","9,270.70","4,434.50",0.5,692.5,"3,575.40",567.7,"34,008.70","6,106.80","4,667.30","2,825.50",659.8,"3,271.20","9,734.20","2,031.80",470.8,171.6,342.2,"1,174.80",219.3,"1,699.00",109.6,524.7,"5,002.40",232.5,173.7,"4,596.20","16,777.20","1,475.30",857,555.3,"1,367.00",240.2,923.5,"1,164.60",602,703,372,"1,628.00","1,843.60",223.6,152.2,531.1,"2,737.10",604.9,444.9,352,"2,365.00",832.2,"1,532.70","14,602.60","10,142.30","2,573.50","1,886.80","17,029.20","2,153.00",546.6,"1,541.90","1,613.00","2,108.00","1,984.00",725,"2,404.40",917.8,"3,035.60","11,032.30","2,035.20",143.2,"3,071.20",675.9,636.2,"1,215.60",167.5,"1,550.80","1,536.80","2,519.40","7,101.40","1,312.60","-3,792.70","-2,101.80"
,2013,"215,005.00","21,846.40","19,383.40","2,463.00","9,076.80","4,933.00","3,021.40",..,"1,122.40","9,588.10",690.4,"7,150.40",275.4,"1,471.90","45,473.70","11,960.40","26,090.80",578.7,75.1,647.1,"4,865.70",335.3,920.6,"12,332.10","3,342.30",126.6,737.8,"1,214.50",439.8,606.2,525.8,"1,354.40","1,632.10",554.7,650.7,"1,147.30","9,937.00","4,905.40",0.7,718.8,"3,712.30",599.7,"35,147.30","6,129.80","5,075.20","2,866.70",640.2,"3,360.10","10,085.60","2,080.60",510.2,171.8,373.8,"1,226.60",226.9,"1,746.80",110,543.2,"5,228.00",240.6,183.1,"4,804.30","17,045.70","1,395.50",868.1,563.4,"1,515.70",240.8,939.2,"1,254.80",630.4,730.4,385.8,"1,682.40","1,905.10",227.7,157.2,547.3,"2,585.80",627.3,415.5,373,"2,492.60",882.2,"1,610.30","15,008.80","10,436.60","2,644.20","1,928.00","17,656.20","2,191.00",556.1,"1,617.40","1,693.80","2,129.80","1,904.20",787.1,"2,510.60","1,143.20","3,123.00","11,422.80","2,028.80",155.1,"3,218.30",695.5,633.8,"1,247.30",172.3,"1,628.20","1,643.70","2,749.60","7,530.80","1,294.00","-3,948.60","-2,126.60"
,2014,"222,274.00","22,333.30","19,848.40","2,484.90","9,298.40","5,010.80","3,166.70",..,"1,121.00","9,860.50",709.1,"7,317.50",269.7,"1,564.20","47,598.50","12,446.70","27,074.20",587.5,77.8,659,"5,369.30",386.9,997,"12,462.20","3,391.30",130.9,769.7,"1,260.00",434.7,597.2,542.2,"1,349.50","1,608.90",565.4,641,"1,171.40","10,272.90","5,051.10",1.6,741.3,"3,860.60",618.5,"35,884.90","6,068.00","5,468.30","2,906.00",669.1,"3,412.60","10,062.20","2,158.20",540.4,176.7,392.1,"1,267.90",233.9,"1,866.40",111.1,551.9,"5,486.40",296.7,189.4,"5,000.30","17,018.00","1,325.00",829.1,548.1,"1,463.80",239.9,987.2,"1,247.50",612.4,751.2,403.3,"1,727.70","2,015.60",197.6,160.3,579,"2,472.50",641.9,430.1,385.8,"2,622.90",927.8,"1,695.10","15,479.00","10,791.30","2,697.10","1,990.60","19,032.50","2,242.30",565.7,"1,709.20","1,677.70","2,389.40","2,104.90",839.9,"2,670.30","1,295.20","3,538.00","11,944.40","2,033.60",153.4,"3,448.30",730.2,669,"1,278.20",174.3,"1,730.20","1,727.40","2,979.80","7,764.60","1,319.80","-4,174.90","-1,929.70"
,2015,"227,529.00","22,898.60","20,371.50","2,527.20","9,423.20","5,121.50","3,208.10",..,"1,093.60","10,549.80",758.6,"7,861.30",263.9,"1,666.00","48,922.80","12,905.20","28,001.00",634.9,81.1,677.3,"5,377.10",380.7,865.4,"12,720.00","3,446.10",127.6,802.7,"1,242.10",431.9,567.4,576.8,"1,448.20","1,664.30",580.9,638.3,"1,193.70","10,678.80","5,259.00",3,783.8,"3,990.00",643,"35,536.00","5,896.10","6,490.10","3,172.60",675.8,"3,492.00","8,266.00","2,208.20",573.4,179.5,418.7,"1,289.90",237.8,"1,945.70",115.5,574.5,"5,634.40",313.2,207.7,"5,113.50","17,233.30","1,263.80",803.8,543.9,"1,473.80",249.7,"1,025.60","1,216.90",621.5,781.2,430.5,"1,769.70","2,037.10",209.9,161.6,605.4,"2,621.60",630.6,401.3,385.3,"2,738.90",963,"1,775.90","16,052.40","11,221.60","2,761.80","2,069.00","19,826.80","2,294.60",586.6,"1,747.20","1,895.60","2,362.70","1,983.10",887.7,"2,855.70","1,405.30","3,808.30","12,326.70","2,056.30",150.6,"3,614.40",798.4,703,"1,359.20",176.3,"1,806.70","1,661.80","2,987.30","8,356.70","1,317.40","-4,574.00","-2,112.70"
,2016,"233,861.00","23,531.50","20,930.80","2,600.80","9,608.20","5,268.00","3,300.50",..,"1,039.70","10,848.50",762.2,"8,112.30",248.7,"1,725.30","50,035.60","13,378.60","28,831.00",693.8,84.3,697.4,"5,280.00",357.6,713,"13,285.20","3,553.00",134.1,831.5,"1,374.80",450.1,611.3,608.9,"1,472.50","1,803.60",577.1,658.9,"1,209.30","11,264.00","5,483.10",11,845.9,"4,265.40",658.7,"36,536.80","5,511.50","7,530.40","3,485.40",759.8,"3,781.20","7,679.80","2,283.70",599.1,184.8,416.9,"1,324.00",240.7,"2,025.60",122.1,591.5,"5,941.40",309.7,226.7,"5,405.00","17,569.60","1,382.20",793.3,574.7,"1,529.70",246.2,"1,028.80","1,207.20",613,804.1,456.8,"1,847.60","2,141.20",199.5,158.9,616.9,"2,570.70",654.3,365,379.6,"2,821.90",999.4,"1,822.50","17,023.70","11,931.30","2,853.20","2,239.20","20,551.40","2,356.60",590,"1,806.50","1,920.30","2,454.00","2,015.40",935.6,"2,912.90","1,514.00","4,046.10","12,653.40","2,046.00",154,"3,803.90",794.7,693.1,"1,417.60",174.9,"1,885.00","1,684.20","2,189.80","8,326.70","1,442.40","-5,393.40","-2,185.80"
,2017,"243,664.00","24,579.00","21,936.40","2,642.60","9,830.60","5,561.30","3,332.40",..,937,"10,771.00",755.7,"8,073.20",247.1,"1,694.90","51,533.80","13,869.80","29,694.90",757.2,88.5,730.1,"5,336.60",377.5,679.2,"13,846.70","3,605.10",147.2,890.1,"1,521.20",472.9,680.5,677.5,"1,579.60","1,811.20",552.7,668,"1,240.60","11,617.40","5,547.70",23.2,913.1,"4,453.20",680.2,"39,270.10","5,512.40","8,383.80","3,793.80",783.8,"4,110.10","8,382.30","2,458.30",624.9,192.3,434.2,"1,351.00",247.4,"2,248.90",131.8,615.1,"6,331.50",310.1,252.2,"5,769.20","18,119.30","1,424.60",895.9,537.6,"1,559.70",242.4,994.2,"1,319.80",626.2,875.4,490.8,"1,901.30","2,111.80",201.9,169.9,657.1,"2,710.70",712.8,335.6,351.5,"2,936.40","1,055.70","1,880.60","18,146.70","12,782.20","2,992.20","2,372.30","21,751.50","2,453.70",670.4,"1,883.50","1,991.40","2,564.40","2,046.00",996.3,"2,983.50","1,608.40","4,553.80","12,842.80","2,083.20",160.5,"3,700.80",792.2,728,"1,486.00",173,"1,983.90","1,735.10","2,087.40","8,876.10","1,489.00","-5,901.80","-2,376.00"
Ontario,1997,"197,635.00","17,607.10","15,613.20","1,994.00","7,856.60","3,621.80","2,524.80",..,"1,710.00","10,242.80",947.1,"7,312.30",654.1,"1,329.40","48,998.40","10,476.10","30,694.40",542.8,63.1,962.2,"3,510.70","2,105.00",644,"11,007.20","2,859.40",145.1,700.1,"1,103.90",318,595.5,480.2,"1,298.80","1,582.90",530.1,661.1,732.1,"6,238.20","2,228.10",..,511.7,"3,127.50",370.9,"28,464.70","5,497.70","4,960.40","2,226.50",402.6,"2,358.90","5,782.60","1,622.50",433.9,282,316.9,"1,103.50",175.1,"2,663.00",113.4,525.8,"3,959.20",299.2,132.8,"3,527.10","18,130.20","1,959.80",885,692.9,"1,154.80",297.9,"1,072.70",972.9,706,676.6,359.8,"1,947.20","1,108.50",223.5,320.8,516.5,"3,278.30",697.2,761.4,498.4,"2,289.60","1,032.60","1,256.90","13,486.50","9,299.50","2,310.30","1,876.70","17,977.30","2,668.90",345,"1,281.70","1,838.90","2,578.60","3,007.00",869.3,"2,343.40",414.4,"2,630.10","10,242.90","1,632.00",115.2,"2,746.80",916.9,572.5,979.1,467.5,"1,432.60","1,380.30","1,134.60","7,312.40","1,378.60","-6,412.80","-1,143.60"
,1998,"207,443.00","18,349.20","16,219.40","2,129.80","8,389.70","3,856.60","2,740.00",..,"1,793.10","10,763.40","1,012.30","7,657.10",677.9,"1,416.20","50,090.00","10,790.10","31,754.80",580.1,67.2,"1,015.90","3,462.80","1,892.60",526.5,"11,852.10","3,139.80",164,747.9,"1,204.70",350.8,633.7,509.8,"1,409.80","1,666.20",557.4,702.9,765.3,"6,798.40","2,541.70",..,567.9,"3,268.50",420.3,"29,716.20","5,781.40","5,354.60","2,333.10",462.6,"2,509.80","5,609.80","1,725.10",455.1,287.4,350.4,"1,131.30",176.7,"2,885.10",116.5,537.2,"4,308.70",320.3,148.2,"3,840.10","19,916.10","2,067.50",964.4,801.3,"1,301.20",339.8,"1,212.10","1,092.20",751.8,714.9,387.3,"2,091.60","1,252.30",265.8,340.7,552.5,"3,699.70",776.5,777,527.4,"2,491.40","1,157.00","1,334.30","14,604.30","10,247.90","2,434.90","1,921.50","19,068.70","2,836.60",271.9,"1,298.70","1,887.80","2,814.70","3,047.00",819.8,"2,484.10",456.6,"3,151.60","10,867.70","1,726.10",125.2,"2,952.30","1,003.10",623.1,"1,007.80",488.1,"1,466.70","1,475.30",227.1,"7,160.70","1,585.70","-7,252.10","-1,267.10"
,1999,"221,244.00","19,123.00","16,907.70","2,215.30","8,789.90","4,093.60","2,780.10",..,"1,916.20","11,424.20","1,084.60","8,185.00",667.7,"1,486.90","51,960.90","11,175.30","32,793.00",630.3,75.2,"1,057.60","3,514.20","2,164.90",550.4,"12,731.20","3,487.00",176.9,778.3,"1,307.60",381.5,661.3,544.1,"1,524.50","1,759.30",599.5,745.6,765.6,"7,311.70","2,815.50",..,569,"3,478.70",448.5,"33,180.30","6,761.90","6,415.90","2,478.90",486.6,"2,653.80","6,493.30","1,835.40",497.3,302.4,430.9,"1,194.40",172.6,"2,770.70",122.5,563.7,"4,558.00",333.4,164.1,"4,060.50","21,433.50","2,265.80","1,051.20",857,"1,420.00",360.2,"1,288.80","1,161.60",811.4,756.2,431.3,"2,167.30","1,342.00",300.9,355.1,567.3,"4,090.20",837.7,807.7,561.6,"2,721.70","1,319.10","1,402.60","15,855.80","11,214.80","2,624.40","2,016.50","20,510.30","3,001.40",377.5,"1,416.80","1,809.90","3,242.00","3,006.00",890.4,"2,715.00",528.5,"3,522.70","11,680.20","1,821.30",136.5,"3,126.20","1,081.80",655.6,"1,069.40",505.6,"1,654.80","1,629.10",-36.6,"7,699.40","1,770.00","-8,013.40","-1,492.70"
,2000,"237,263.00","20,273.10","18,086.40","2,186.60","9,313.40","4,380.30","2,887.00",..,"2,046.10","12,108.40","1,169.50","8,696.80",672.5,"1,569.60","54,634.50","11,592.50","34,215.30",671.4,82.2,"1,107.80","3,708.70","2,557.70",698.8,"13,683.20","3,833.10",192.4,834.3,"1,389.40",401.3,704,577.4,"1,630.80","1,843.50",647.7,819.4,810.1,"7,954.30","3,163.80",..,597.2,"3,707.40",485.9,"35,918.70","7,460.20","6,168.50","2,721.90",494.4,"2,850.60","7,820.90","1,963.90",528.3,318.9,466.9,"1,295.70",183.6,"2,920.70",129.9,594.2,"5,310.00",349,201.4,"4,759.60","23,578.80","2,506.10","1,180.60",880.3,"1,522.90",387.2,"1,379.50","1,254.10",890.6,816.8,459.3,"2,350.40","1,504.20",334.1,368.9,611.2,"4,796.80",893.3,845.7,596.7,"2,915.50","1,453.10","1,462.30","17,020.90","12,059.60","2,772.90","2,188.30","21,802.60","3,281.30",389.6,"1,538.90","1,699.70","3,548.50","2,929.00","1,131.50","3,006.60",591.3,"3,686.10","12,336.10","1,940.70",142.4,"3,264.90","1,173.20",701.8,"1,146.10",520.4,"1,749.20","1,697.40",413.7,"8,840.00","2,064.90","-8,890.60","-1,600.60"
,2001,"248,525.00","21,502.50","19,214.30","2,288.10","10,124.20","4,676.70","3,280.30",..,"2,167.20","12,488.70","1,226.70","8,953.30",669.7,"1,639.10","57,757.30","12,080.60","35,705.50",701.5,89.2,"1,147.80","3,991.70","3,414.30",626.6,"14,369.70","4,040.00",204.7,885.8,"1,427.40",422.9,744,606.1,"1,708.40","1,882.80",690.6,866.1,890.9,"8,786.10","3,483.00",0,630.3,"4,141.40",531.4,"36,094.70","7,485.60","6,106.30","2,771.00",501.7,"2,992.80","7,679.70","2,059.10",556.6,327.8,529.9,"1,392.40",211.4,"2,718.40",142,619.9,"5,666.90",370.3,210.9,"5,085.60","24,672.10","2,569.70","1,138.90",904.5,"1,591.70",361.2,"1,443.00","1,299.30",933.3,857.1,501.4,"2,385.20","1,724.20",370.3,384,619.8,"5,172.40",935.8,857.4,622.9,"3,101.70","1,567.60","1,534.10","17,688.40","12,571.70","2,882.10","2,234.70","22,189.20","3,180.40",415.5,"1,482.80","1,571.60","3,939.20","2,917.00",904.2,"3,133.50",671.8,"3,973.20","12,903.50","2,065.90",149.5,"3,401.90","1,203.70",724.7,"1,252.90",537,"1,821.50","1,746.40","1,180.00","9,165.60","2,451.20","-8,767.70","-1,669.00"
,2002,"262,901.00","22,655.70","20,229.80","2,425.90","11,123.70","4,983.80","3,858.20",..,"2,281.60","12,825.20","1,260.50","9,174.50",706,"1,684.20","60,060.00","12,756.40","37,435.90",750.5,95.5,"1,265.30","4,391.10","2,775.10",590.3,"15,422.70","4,365.10",225.6,955.2,"1,563.40",443.3,783.8,650.3,"1,826.70","1,984.70",736.5,910.8,977.4,"9,654.20","3,929.90",0,707.6,"4,455.00",561.7,"38,472.40","8,180.20","7,267.90","2,873.10",534.9,"3,137.70","7,770.00","2,147.90",608.4,331.5,579.4,"1,430.20",238.5,"2,591.60",152.8,628.2,"6,285.40",378,219.9,"5,687.50","26,043.60","2,699.20","1,080.90",986.2,"1,690.70",372.4,"1,554.80","1,370.20",964.6,911.6,556.2,"2,593.00","1,825.70",413.1,400.5,668.6,"5,444.20","1,001.70",874.9,635.1,"3,432.70","1,762.10","1,670.60","18,562.00","13,227.30","2,955.70","2,379.10","23,787.40","3,159.20",453.6,"1,612.80","1,748.10","4,134.50","3,201.00",809.3,"3,540.50",785.7,"4,342.80","13,729.70","2,204.70",156.6,"3,650.70","1,253.40",761.9,"1,326.50",500.4,"1,988.60","1,886.90",846.2,"8,978.40","2,710.60","-9,037.80","-1,805.00"
,2003,"274,420.00","23,758.80","21,230.00","2,528.80","11,851.90","5,209.20","4,264.10",..,"2,378.50","12,934.70","1,283.30","9,252.30",709.9,"1,689.20","63,396.20","13,293.60","39,071.80",775.9,101.8,"1,322.30","4,295.30","3,845.30",690.2,"16,245.30","4,603.00",235.4,"1,016.40","1,647.30",455.8,830,685.6,"1,890.70","2,071.50",778.5,961.8,"1,069.30","10,109.50","4,231.10",0,773.9,"4,515.80",588.8,"39,348.40","7,338.20","7,351.90","3,612.90",667.3,"3,255.70","8,436.10","2,272.40",647.6,349.4,606.7,"1,477.80",257.4,"2,287.90",143.3,643.8,"6,512.60",383.5,233.8,"5,895.20","26,600.40","2,818.50","1,087.80","1,061.40","1,637.90",377.9,"1,616.60","1,401.00",993.2,965.9,611.3,"2,721.30","2,032.60",409.7,398.1,695.6,"5,241.40","1,011.50",875.4,643.2,"3,766.40","2,002.10","1,764.30","18,272.70","13,061.20","2,954.80","2,256.70","24,712.40","3,170.10",523.3,"1,707.60","2,056.20","4,366.40","3,532.00",937.5,"3,785.60",810.9,"3,822.80","14,200.60","2,269.00",159.6,"3,857.30","1,271.60",796.6,"1,341.30",481.1,"2,085.30","1,938.80","2,710.40","9,345.60","2,487.80","-7,386.30","-1,736.70"
,2004,"285,920.00","24,651.60","22,047.30","2,604.30","12,376.30","5,365.60","4,574.40",..,"2,436.40","13,252.00","1,321.30","9,498.80",706.3,"1,725.60","65,968.60","13,755.90","40,812.30",794.8,111.1,"1,373.90","4,655.50","3,716.50",748.7,"17,035.50","4,898.60",249.6,"1,029.60","1,677.90",476.5,880.1,727.5,"1,959.90","2,144.50",818.1,"1,023.40","1,150.00","10,858.40","4,573.10",0,845.2,"4,798.40",641.8,"40,252.60","6,661.60","7,010.50","3,889.60",714.7,"3,337.60","9,378.40","2,359.70",676.8,374.1,639.3,"1,571.30",306.2,"2,502.50",151.4,678.8,"6,883.60",411.4,247.8,"6,224.40","27,152.00","2,893.40","1,136.20","1,081.60","1,558.40",390.3,"1,649.50","1,423.60","1,007.30",994.7,664.3,"2,802.20","2,169.80",401.3,394,730.8,"5,310.50","1,013.40",883,647.7,"4,022.20","2,173.30","1,848.90","19,175.30","13,689.80","3,125.10","2,360.40","26,516.10","3,205.10",571.6,"1,902.70","2,193.20","4,584.60","3,642.00","1,093.70","4,092.60",911.3,"4,319.20","14,965.90","2,427.80",168.3,"4,124.90","1,309.60",828.4,"1,386.90",458.8,"2,221.20","2,040.10","2,809.80","10,506.90","2,831.40","-8,708.10","-1,820.30"
,2005,"301,212.00","25,646.50","22,841.70","2,804.70","12,543.20","5,550.20","4,566.20",..,"2,426.80","13,437.70","1,361.80","9,584.60",704.6,"1,786.70","69,174.40","14,148.50","42,466.30",848,112,"1,506.60","5,124.50","4,077.60",891,"17,560.40","5,025.00",260.2,"1,041.30","1,694.30",498.2,924.2,728,"1,984.50","2,232.40",854.9,"1,078.00","1,239.50","11,672.60","4,897.50",0,906.5,"5,181.60",687.1,"43,573.60","7,103.60","7,295.30","4,176.10",751.3,"3,547.10","10,940.90","2,456.50",705.3,386.6,666.8,"1,667.60",321.1,"2,684.60",160.9,709.9,"7,220.80",423.4,256.4,"6,541.00","27,986.30","2,962.30","1,163.00","1,125.30","1,581.00",400.7,"1,732.00","1,477.50","1,035.50","1,020.90",725,"2,922.10","2,353.40",376.5,387.7,758.5,"5,380.40","1,027.20",889.2,668,"4,275.90","2,289.70","1,986.20","19,887.20","14,152.60","3,198.90","2,535.70","28,367.10","3,270.40",605,"1,912.80","2,311.00","5,007.10","3,760.00","1,295.20","4,354.10",984.6,"4,867.00","15,653.20","2,538.10",176.6,"4,312.80","1,317.80",870.3,"1,414.70",429.3,"2,375.30","2,218.30","4,213.10","11,683.10","2,948.10","-8,443.50","-1,974.60"
,2006,"314,165.00","26,545.20","23,654.80","2,890.40","12,346.60","5,674.10","4,350.60",..,"2,321.90","13,999.20","1,368.20","10,057.50",696.7,"1,876.80","72,048.80","14,698.00","44,518.40",921.9,115.1,"1,631.10","5,143.80","4,192.00",828.5,"18,589.40","5,353.40",267.7,"1,108.00","1,804.70",520.3,971.4,778.5,"2,056.70","2,334.70",906.7,"1,147.40","1,339.80","12,586.90","5,357.60",0.4,"1,011.40","5,490.30",727.3,"44,803.10","7,337.80","7,036.40","4,220.20",828.5,"3,686.80","11,402.80","2,548.50",740.4,396.9,700.1,"1,751.40",343,"2,896.40",168,745.8,"7,538.50",434.5,259.6,"6,844.40","28,936.90","3,075.30","1,209.40","1,157.10","1,690.30",389.4,"1,827.40","1,532.70","1,045.60","1,050.40",795.4,"3,108.70","2,539.40",389.3,381.4,806.8,"5,346.10","1,038.60",866.8,686.9,"4,519.60","2,437.40","2,082.20","20,638.00","14,664.90","3,277.70","2,695.40","30,142.20","3,326.70",634.8,"1,903.70","2,399.30","5,317.40","3,991.00","1,516.70","4,801.10","1,027.60","5,224.00","16,480.40","2,677.60",185.6,"4,462.90","1,376.60",896.5,"1,477.40",444.5,"2,535.50","2,423.70","4,990.10","12,303.40","3,021.80","-8,281.80","-2,053.30"
,2007,"329,812.00","27,487.20","24,423.20","3,063.90","12,430.00","5,963.10","4,284.20",..,"2,182.80","14,432.80","1,381.80","10,413.30",704.5,"1,933.20","74,950.50","15,268.80","46,704.70",957.3,119.3,"1,757.30","5,103.40","4,089.10",950.5,"19,507.10","5,644.10",283.6,"1,170.40","1,898.70",542.3,"1,002.00",786,"2,128.40","2,399.10",951.4,"1,212.10","1,489.00","13,543.70","5,769.60",1.5,"1,115.90","5,875.70",781,"46,749.80","7,268.50","7,339.80","4,303.20",863.3,"3,804.70","12,281.00","2,649.10",795.5,424.5,753.5,"1,876.80",357.6,"3,051.80",168.8,811.6,"7,914.60",452.8,274.4,"7,187.40","30,065.80","3,230.40","1,295.50","1,189.50","1,823.30",386.7,"1,942.30","1,567.20","1,092.20","1,089.30",889.3,"3,312.40","2,744.50",400.2,367.3,853.4,"5,258.90","1,051.80",874.2,697.2,"4,749.60","2,587.60","2,162.00","21,413.40","15,274.40","3,350.20","2,788.80","32,552.00","3,452.50",689,"2,148.50","2,391.20","5,605.80","3,946.00","1,685.30","5,435.30","1,200.40","5,997.90","17,286.40","2,852.30",194.1,"4,607.20","1,405.00",931.6,"1,565.10",459.6,"2,703.50","2,568.00","6,729.00","13,994.30","3,052.60","-8,150.80","-2,167.10"
,2008,"342,167.00","29,068.70","25,905.70","3,163.00","12,411.00","6,090.20","4,157.70",..,"2,163.10","14,453.40","1,359.40","10,457.70",703.4,"1,933.00","78,128.90","15,786.50","48,730.80",973.4,122.1,"1,970.70","4,850.50","4,507.50","1,187.30","19,999.30","5,726.20",268.9,"1,186.80","1,972.30",574.2,998.2,805.9,"2,158.10","2,476.40",977.1,"1,271.40","1,583.80","14,413.70","6,067.40",1.5,"1,206.70","6,313.80",824.3,"48,907.50","7,387.20","6,916.00","4,238.40",934,"4,065.30","13,802.20","2,800.00",820.4,426.6,765.3,"2,035.40",386.9,"3,317.00",179,833.6,"8,088.90",459.5,291,"7,338.40","30,893.10","3,279.60","1,383.20","1,248.60","1,850.40",379.4,"2,108.80","1,573.80","1,122.30","1,149.10",965.1,"3,428.20","2,852.20",408.7,358.6,882.3,"5,321.20","1,042.00",849.8,689.6,"5,087.80","2,760.90","2,327.00","22,135.60","15,955.30","3,333.10","2,847.20","32,884.40","3,643.80",669.3,"2,247.80","2,301.20","5,484.50","4,517.00","1,636.20","5,859.30","1,288.70","5,236.80","18,009.80","2,936.40",205.6,"4,766.10","1,434.10",962.2,"1,630.00",486.4,"2,845.10","2,744.00","7,684.70","15,088.00","2,885.20","-8,113.70","-2,174.80"
,2009,"341,330.00","30,747.80","27,386.20","3,361.60","12,341.40","6,167.10","4,105.80",..,"2,068.60","14,079.70","1,306.90","10,132.20",697.7,"1,942.90","78,746.60","16,162.30","50,134.60",965.1,128.5,"2,136.40","4,999.70","3,457.90",762.1,"19,801.40","5,486.30",242.2,"1,143.10","1,998.10",570.4,983.4,788.1,"2,120.10","2,555.00",989.1,"1,322.90","1,602.70","15,086.70","6,317.20",1.5,"1,257.30","6,662.70",848,"45,468.40","6,606.30","7,364.60","3,632.60",875.2,"4,134.90","11,520.80","2,846.90",846.8,403.2,786.5,"2,022.60",402,"2,995.10",170.3,860.5,"8,906.90",471.3,299.6,"8,136.00","30,908.60","3,021.40","1,352.10","1,159.90","1,715.40",368.6,"2,024.80","1,586.50","1,175.40","1,270.50",981.3,"3,445.90","3,066.60",457.1,372.6,904.5,"5,319.20","1,089.20",874.7,723,"5,446.10","3,019.50","2,426.60","21,826.70","15,950.70","3,158.00","2,718.10","31,490.30","3,842.00",674.5,"2,292.70","2,480.10","5,021.00","4,511.00","1,416.30","5,600.40","1,187.00","4,465.30","18,418.70","2,949.90",203.7,"4,918.90","1,364.10",959.1,"1,676.10",502.8,"2,976.40","2,867.70","8,060.70","14,966.50","2,745.90","-7,506.00","-2,145.70"
